time,close,high,low,open,volume
1594949460,188.3000,189.0000,188.0000,188.8000,873507
1594949520,188.5000,189.4000,188.2000,188.5000,314900
1594949580,189.8000,189.8000,188.2000,188.5000,329200
1594949640,189.6000,190.0000,189.5000,189.7000,215200
1594949700,188.6000,189.7000,188.5000,189.6000,224290
1594949760,189.4000,189.6000,188.0000,188.5000,452810
1594949820,189.3000,189.8000,189.3000,189.6000,115500
1594949880,188.9000,189.5000,188.9000,189.5000,143400
1594949940,189.1000,189.2000,188.9000,188.9000,81671
1594950000,189.5000,189.7000,189.1000,189.1000,168400
1594950060,189.8000,189.9000,189.4000,189.5000,126000
1594950120,189.5000,189.9000,189.4000,189.8000,110900
1594950180,189.2000,189.5000,189.2000,189.4000,203600
1594950240,189.4000,189.4000,189.2000,189.3000,110000
1594950300,189.3000,189.6000,189.1000,189.3000,442153
1594950360,189.0000,189.4000,189.0000,189.3000,165600
1594950420,188.5000,189.0000,188.4000,189.0000,194530
1594950480,188.2000,188.6000,187.7000,188.6000,210700
1594950540,188.3000,188.7000,188.2000,188.2000,86600
1594950600,187.2000,188.3000,187.1000,188.2000,109200
1594950660,187.0000,187.4000,186.7000,187.2000,178200
1594950720,186.2000,187.0000,186.1000,187.0000,127300
1594950780,187.0000,187.8000,186.1000,186.2000,283100
1594950840,187.4000,187.7000,187.0000,187.0000,71200
1594950900,186.8000,187.6000,186.3000,187.3000,224400
1594950960,187.2000,187.5000,186.7000,186.8000,77200
1594951020,187.2000,188.0000,187.0000,187.2000,155100
1594951080,187.1000,187.3000,187.0000,187.2000,59391
1594951140,187.1000,187.3000,187.0000,187.2000,51240
1594951200,187.2000,187.3000,187.1000,187.1000,30000
1594951260,187.2000,187.3000,187.0000,187.2000,58500
1594951320,187.2000,187.3000,187.0000,187.3000,55400
1594951380,187.2000,187.3000,187.0000,187.3000,85200
1594951440,188.0000,188.2000,187.2000,187.2000,93100
1594951500,188.4000,188.8000,187.9000,188.1000,81505
1594951560,187.9000,188.8000,187.5000,188.4000,138100
1594951620,188.7000,188.9000,187.8000,187.8000,49000
1594951680,188.7000,188.9000,188.3000,188.8000,63900
1594951740,188.4000,188.8000,188.4000,188.7000,75700
1594951800,188.5000,188.5000,188.0000,188.4000,48300
1594951860,188.4000,188.7000,188.3000,188.5000,31700
1594951920,188.8000,188.9000,188.2000,188.3000,76506
