time,close,high,low,open,volume
1595467860,25241.2793,25241.2793,25181.2207,25235.9004,568119375
1595467920,25279.2402,25283.4297,25241.0605,25241.2793,100020844
1595467980,25277.3398,25288.4004,25269.8594,25277.0098,79338031
1595468040,25258.4297,25274.1406,25232.8398,25264.3008,102005664
1595468100,25270.7793,25281.8398,25256.7891,25258.4297,72495164
1595468160,25260.9492,25273.8008,25254.8496,25270.7793,71261320
1595468220,25248.1406,25260.9297,25235.4395,25260.9297,62915648
1595468280,25279.7109,25285.3496,25241.9492,25242.3105,70650227
1595468340,25300.3301,25307.6504,25279.7109,25279.7109,101994977
1595468400,25305.1992,25308.0293,25288.8008,25300.3301,59002094
1595468460,25311.4004,25316.4102,25298.6699,25300.6406,81332047
1595468520,25308.3008,25325.6699,25308.3008,25315.8398,63565418
1595468580,25338.8398,25342.5605,25312.2402,25313.2305,54107699
1595468640,25322.2207,25342.6309,25317.5293,25333.0703,57009328
1595468700,25327.7598,25329.0801,25312.7793,25322.8398,56149547
1595468760,25321.4805,25346.3594,25321.4805,25327.6602,61479352
1595468820,25293.6895,25316.9102,25290.7402,25314.2891,52666234
1595468880,25328.3496,25331.9492,25298.6699,25298.7207,67046273
1595468940,25323.6191,25336.3203,25316.6992,25330.2793,59742133
1595469000,25307.6602,25327.0605,25307.6602,25327.0605,62223125
1595469060,25317.0605,25320.3594,25307.6094,25313.0195,58093309
1595469120,25338.9395,25342.8301,25314.0605,25314.0605,55717289
1595469180,25318.0898,25337.5801,25314.2695,25337.3105,54894395
1595469240,25316.9102,25322.0000,25307.2500,25318.0898,48222391
1595469300,25323.9102,25328.8008,25315.5703,25315.5703,59631777
1595469360,25331.9199,25331.9199,25314.6191,25322.4805,43835539
1595469420,25321.9609,25332.8203,25320.6699,25331.9199,47086301
1595469480,25309.2305,25319.4902,25305.4395,25319.0000,50685359
1595469540,25308.8809,25319.8203,25306.4609,25308.5508,32984707
1595469600,25296.1094,25310.0996,25293.2207,25310.0996,52754738
1595469660,25259.6309,25298.7207,25259.6309,25293.9805,73451242
1595469720,25250.5391,25262.0508,25240.1797,25262.0098,56416727
1595469780,25266.9707,25272.5000,25247.0898,25247.0898,42966852
1595469840,25260.3496,25266.0898,25256.9707,25264.3809,32658701
1595469900,25256.0195,25265.4395,25254.9102,25259.9609,41091141
1595469960,25241.9395,25254.1992,25240.7305,25254.1992,55167281
1595470020,25224.0605,25248.5000,25221.2207,25242.3594,64832621
1595470080,25228.7109,25230.1309,25220.3594,25222.1699,47746238
1595470140,25215.2500,25228.7109,25211.3691,25228.7109,55723465
1595470200,25207.6504,25218.1699,25204.7500,25214.2598,61855715
1595470260,25186.7695,25209.6895,25186.7695,25207.6504,56197414
1595470320,25177.5293,25190.0098,25174.4004,25186.7695,52979406
1595470380,25168.3203,25179.3105,25167.0605,25176.4805,47855742
1595470440,25142.1504,25169.1992,25139.3398,25168.3203,74237445
1595470500,25173.1602,25173.1602,25135.9492,25141.3203,79595031
1595470560,25180.9102,25182.1895,25164.8203,25170.7891,52573008
1595470620,25203.6895,25203.6895,25181.8691,25184.0195,65725422
1595470680,25223.1797,25223.5098,25193.5508,25198.9004,47831098
1595470740,25202.1992,25225.9805,25196.6504,25221.9199,46210707
1595470800,25181.8398,25204.8594,25180.7793,25200.0293,54498332
1595470860,25142.9492,25181.9395,25142.9492,25181.5898,52806254
1595470920,25134.7598,25157.6602,25134.7598,25146.2695,43688762
1595470980,25112.5996,25136.2598,25108.7402,25136.2598,107211727
1595471040,25114.7207,25121.3398,25096.1602,25105.8809,62349289
1595471100,25111.9902,25124.1094,25111.9902,25117.5508,50028715
1595471160,25109.9707,25116.3301,25099.3008,25111.9902,44687320
1595471220,25096.5898,25110.2402,25091.1406,25110.2402,41529914
1595471280,25090.0508,25102.7598,25087.0293,25099.8809,46658734
1595471340,25086.7500,25096.1992,25085.8809,25092.4004,50292910
1595471400,25095.3008,25098.8594,25080.8105,25087.8809,56449027
1595471460,25117.5391,25117.6406,25090.0098,25091.1895,49233160
1595471520,25155.9102,25156.3008,25117.1602,25117.1602,51272762
1595471580,25133.5000,25163.3008,25133.5000,25163.3008,51312664
1595471640,25139.9707,25139.9707,25130.9609,25130.9609,33942074
1595471700,25118.1094,25143.8594,25116.5195,25143.3301,34997266
1595471760,25086.8105,25118.3008,25079.3105,25117.6602,77667266
1595471820,25085.0605,25096.4805,25081.9199,25087.5508,39094594
1595471880,25074.2402,25090.4004,25068.2891,25083.8008,31700170
1595471940,25065.7793,25078.6309,25061.9492,25074.2402,79477570
1595472000,25063.3594,25068.0605,25058.8906,25065.0801,41757996
1595472060,25053.7109,25069.1309,25053.7109,25063.3594,53456020
1595472120,25050.2793,25054.4102,25045.1191,25052.0293,40180277
1595472180,25033.1895,25049.4609,25031.8906,25049.4609,48219750
1595472240,25030.1895,25037.0898,25016.2305,25037.0898,60078355
1595472300,25043.6797,25043.6797,25030.0801,25030.1797,33462758
1595472360,25074.0508,25074.0508,25035.7891,25043.4102,59079301
1595472420,25041.2598,25075.2598,25037.7598,25073.4902,35211930
1595472480,25038.8008,25044.3203,25035.9199,25038.2891,36371836
1595472540,25038.0605,25056.4492,25035.7402,25035.7402,27411146
1595472600,25033.2402,25041.2305,25031.8594,25035.6699,30349244
1595472660,25003.8594,25034.8594,25003.8594,25034.8594,49422828
1595472720,24992.3691,25006.2207,24992.3691,25001.1797,47925816
1595472780,25035.9609,25035.9609,24992.5801,24993.1191,48526125
1595472840,25039.4707,25039.4707,25027.7305,25035.5391,24883189
1595472900,25023.5508,25034.3496,25022.6602,25034.0898,31879117
1595472960,25044.5098,25046.2402,25022.9609,25023.1309,36344871
1595473020,25028.3105,25045.0098,25024.5293,25045.0098,32252678
1595473080,25032.2891,25032.2891,25024.1895,25028.0996,26192744
1595473140,25004.1094,25030.0000,25000.6309,25030.0000,34212637
1595473200,25003.9609,25008.5293,25000.8398,25004.8398,31988408
1595473260,25019.3301,25020.2402,25000.7891,25003.9609,30399139
1595473320,25011.9199,25021.0898,25010.4805,25021.0898,34153258
1595473380,25000.3496,25014.7109,24995.4492,25007.9199,31179484
1595473440,25015.5391,25018.4199,24994.4199,25003.8301,29773859
1595473500,25021.5195,25026.4395,25011.2598,25014.7793,32787852
1595473560,25035.6406,25038.4297,25018.7305,25021.7695,41449688
1595473620,25058.9297,25061.3398,25032.2598,25032.2598,42195637
1595473680,25085.1191,25087.8691,25058.8105,25058.8105,31011529
1595473740,25081.7305,25090.4707,25080.1602,25082.3301,32507455
1595473800,25074.0098,25087.5508,25071.3008,25078.5605,38496379
1595473860,25090.6699,25090.6699,25073.9297,25077.0996,32958379
1595473920,25093.5801,25094.1992,25078.2305,25090.3398,58637203
1595473980,25101.0000,25101.0000,25081.1895,25093.8496,21944967
1595474040,25105.1602,25105.1602,25095.1504,25101.8105,27064041
1595474100,25105.4004,25116.5898,25101.7793,25105.1602,21921340
1595474160,25104.7305,25121.8496,25101.0000,25110.0703,24561652
1595474220,25098.7305,25109.2793,25094.5996,25105.3691,29477469
1595474280,25083.3906,25100.7891,25083.1895,25098.6309,33882367
